machine,co2_kg,kwh
Assembling_Machine1,652.9952483077448,932.8503547253499
Assembling_Machine2,162.4,232.0
Assembling_Machine3,472.14874380764013,674.4982054394859
Assembling_Machine4,449.6994702766776,642.4278146809679
Cutting_Machine1,3212.494848027151,4589.2783543245105
Cutting_Machine3,1301.1999801304846,1858.8571144721207
Cutting_Machine4,928.4412261069476,1326.344608724211
Painting_Machine1,3753.5782194244325,5362.254599177764
Painting_Machine2,902.3631195152425,1289.0901707360608
Painting_Machine3,1304.473296391112,1863.5332805587316
Painting_Machine4,499.0155975992351,712.8794251417645
Routing_Machine1,2731.485052786738,3902.121503981074
Routing_Machine2,66.14972707735001,94.49961011050002
