product,stage,type,material,quantity,remaining_stock,time
ProductA,Cutting,consumption,Steel_Sheet,-2,148,6.099999999999994
ProductB,Routing,consumption,Routing_Bits,-0.15,149.85,6.099999999999994
ProductA,Cutting,consumption,Steel_Sheet,-2,146,6.099999999999994
ProductA,Cutting,consumption,Steel_Sheet,-2,144,6.099999999999994
ProductA,Cutting,consumption,Steel_Sheet,-2,142,6.099999999999994
ProductA,Cutting,consumption,Steel_Sheet,-2,140,6.099999999999994
ProductB,Routing,consumption,Routing_Bits,-0.15,149.7,6.099999999999994
ProductA,Cutting,consumption,Steel_Sheet,-2,138,6.099999999999994
ProductA,Cutting,consumption,Steel_Sheet,-2,136,6.099999999999994
ProductB,Routing,consumption,Routing_Bits,-0.15,149.54999999999998,6.099999999999994
ProductB,Routing,consumption,Routing_Bits,-0.15,149.39999999999998,6.099999999999994
ProductB,Routing,consumption,Routing_Bits,-0.15,149.24999999999997,6.099999999999994
ProductA,Cutting,consumption,Steel_Sheet,-2,134,6.099999999999994
ProductA,Cutting,consumption,Steel_Sheet,-2,132,6.099999999999994
ProductB,Routing,consumption,Routing_Bits,-0.15,149.09999999999997,6.099999999999994
ProductA,Cutting,consumption,Steel_Sheet,-2,130,6.099999999999994
ProductA,Cutting,consumption,Steel_Sheet,-2,128,6.099999999999994
ProductA,Cutting,consumption,Steel_Sheet,-2,126,6.099999999999994
ProductA,Cutting,consumption,Steel_Sheet,-2,124,6.099999999999994
ProductB,Routing,consumption,Routing_Bits,-0.15,148.94999999999996,6.099999999999994
ProductA,Routing,consumption,Routing_Bits,-0.1,148.84999999999997,9.89999999999998
ProductA,Routing,consumption,Routing_Bits,-0.1,148.74999999999997,10.699999999999978
ProductA,Routing,consumption,Routing_Bits,-0.1,148.64999999999998,10.699999999999978
ProductA,Routing,consumption,Routing_Bits,-0.1,148.54999999999998,10.699999999999978
ProductA,Routing,consumption,Routing_Bits,-0.1,148.45,10.699999999999978
ProductA,Routing,consumption,Routing_Bits,-0.1,148.35,10.799999999999978
ProductA,Routing,consumption,Routing_Bits,-0.1,148.25,10.899999999999977
ProductA,Routing,consumption,Routing_Bits,-0.1,148.15,10.999999999999977
ProductB,Cutting,consumption,Steel_Sheet,-1.5,122.5,11.099999999999977
ProductB,Cutting,consumption,Steel_Sheet,-1.5,121.0,11.099999999999977
ProductA,Routing,consumption,Routing_Bits,-0.1,148.05,11.099999999999977
ProductA,Routing,consumption,Routing_Bits,-0.1,147.95000000000002,11.199999999999976
ProductA,Routing,consumption,Routing_Bits,-0.1,147.85000000000002,11.199999999999976
ProductB,Cutting,consumption,Steel_Sheet,-1.5,119.5,11.199999999999976
ProductB,Cutting,consumption,Steel_Sheet,-1.5,118.0,11.199999999999976
ProductA,Routing,consumption,Routing_Bits,-0.1,147.75000000000003,11.299999999999976
ProductA,Routing,consumption,Routing_Bits,-0.1,147.65000000000003,11.399999999999975
ProductB,Cutting,consumption,Steel_Sheet,-1.5,116.5,11.599999999999975
ProductB,Cutting,consumption,Steel_Sheet,-1.5,115.0,11.599999999999975
ProductB,Cutting,consumption,Steel_Sheet,-1.5,113.5,12.099999999999973
ProductB,Painting,consumption,Paint,-1.2,148.8,15.59999999999996
ProductB,Painting,consumption,Paint,-1.2,147.60000000000002,15.69999999999996
ProductB,Painting,consumption,Paint,-1.2,146.40000000000003,15.69999999999996
ProductB,Painting,consumption,Paint,-1.2,145.20000000000005,15.79999999999996
ProductB,Painting,consumption,Paint,-1.2,144.00000000000006,16.09999999999996
ProductA,Painting,consumption,Paint,-1,143.00000000000006,16.399999999999963
ProductB,Painting,consumption,Paint,-1.2,141.80000000000007,16.499999999999964
ProductB,Painting,consumption,Paint,-1.2,140.60000000000008,17.299999999999976
ProductA,Painting,consumption,Paint,-1,139.60000000000008,17.299999999999976
ProductA,Painting,consumption,Paint,-1,138.60000000000008,17.69999999999998
ProductA,Painting,consumption,Paint,-1,137.60000000000008,17.999999999999986
ProductA,Painting,consumption,Paint,-1,136.60000000000008,18.699999999999996
ProductA,Painting,consumption,Paint,-1,135.60000000000008,19.0
ProductA,Painting,consumption,Paint,-1,134.60000000000008,19.0
ProductA,Painting,consumption,Paint,-1,133.60000000000008,19.0
ProductA,Painting,consumption,Paint,-1,132.60000000000008,19.0
ProductA,Painting,consumption,Paint,-1,131.60000000000008,19.400000000000006
ProductA,Painting,consumption,Paint,-1,130.60000000000008,19.500000000000007
ProductA,Painting,consumption,Paint,-1,129.60000000000008,19.70000000000001
ProductA,Painting,consumption,Paint,-1,128.60000000000008,20.100000000000016
ProductA,Cutting,consumption,Steel_Sheet,-2,111.5,30.100000000000158
ProductB,Routing,consumption,Routing_Bits,-0.15,147.50000000000003,30.100000000000158
ProductA,Cutting,consumption,Steel_Sheet,-2,109.5,30.100000000000158
ProductA,Cutting,consumption,Steel_Sheet,-2,107.5,31.100000000000172
ProductA,Cutting,consumption,Steel_Sheet,-2,105.5,31.400000000000176
ProductA,Cutting,consumption,Steel_Sheet,-2,103.5,31.70000000000018
ProductB,Routing,consumption,Routing_Bits,-0.15,147.35000000000002,32.700000000000195
ProductB,Routing,consumption,Routing_Bits,-0.15,147.20000000000002,33.0000000000002
ProductB,Routing,consumption,Routing_Bits,-0.15,147.05,33.400000000000205
ProductB,Routing,consumption,Routing_Bits,-0.15,146.9,33.70000000000021
ProductA,Cutting,consumption,Steel_Sheet,-2,101.5,33.90000000000021
ProductB,Routing,consumption,Routing_Bits,-0.15,146.75,34.70000000000022
ProductA,Cutting,consumption,Steel_Sheet,-2,99.5,35.40000000000023
ProductA,Cutting,consumption,Steel_Sheet,-2,97.5,35.70000000000024
ProductA,Cutting,consumption,Steel_Sheet,-2,95.5,35.70000000000024
ProductA,Cutting,consumption,Steel_Sheet,-2,93.5,35.80000000000024
ProductA,Routing,consumption,Routing_Bits,-0.1,146.65,35.80000000000024
ProductA,Cutting,consumption,Steel_Sheet,-2,91.5,35.90000000000024
ProductA,Routing,consumption,Routing_Bits,-0.1,146.55,35.90000000000024
ProductA,Cutting,consumption,Steel_Sheet,-2,89.5,36.00000000000024
ProductB,Routing,consumption,Routing_Bits,-0.15,146.4,36.00000000000024
ProductA,Cutting,consumption,Steel_Sheet,-2,87.5,36.10000000000024
ProductB,Cutting,consumption,Steel_Sheet,-1.5,86.0,36.80000000000025
ProductA,Routing,consumption,Routing_Bits,-0.1,146.3,37.50000000000026
ProductA,Routing,consumption,Routing_Bits,-0.1,146.20000000000002,38.20000000000027
ProductA,Routing,consumption,Routing_Bits,-0.1,146.10000000000002,39.100000000000286
ProductA,Routing,consumption,Routing_Bits,-0.1,146.00000000000003,39.20000000000029
ProductA,Routing,consumption,Routing_Bits,-0.1,145.90000000000003,39.700000000000294
ProductB,Cutting,consumption,Steel_Sheet,-1.5,84.5,40.3000000000003
ProductA,Routing,consumption,Routing_Bits,-0.1,145.80000000000004,40.70000000000031
ProductA,Routing,consumption,Routing_Bits,-0.1,145.70000000000005,40.90000000000031
ProductB,Cutting,consumption,Steel_Sheet,-1.5,83.0,41.00000000000031
ProductB,Cutting,consumption,Steel_Sheet,-1.5,81.5,41.100000000000314
ProductA,Routing,consumption,Routing_Bits,-0.1,145.60000000000005,41.40000000000032
ProductA,Routing,consumption,Routing_Bits,-0.1,145.50000000000006,41.50000000000032
ProductA,Routing,consumption,Routing_Bits,-0.1,145.40000000000006,41.60000000000032
ProductB,Cutting,consumption,Steel_Sheet,-1.5,80.0,42.00000000000033
ProductB,Cutting,consumption,Steel_Sheet,-1.5,78.5,42.70000000000034
ProductA,Routing,consumption,Routing_Bits,-0.1,145.30000000000007,42.80000000000034
ProductB,Cutting,consumption,Steel_Sheet,-1.5,77.0,43.40000000000035
ProductB,Painting,consumption,Paint,-1.2,127.40000000000008,43.50000000000035
ProductB,Painting,consumption,Paint,-1.2,126.20000000000007,44.20000000000036
ProductA,Painting,consumption,Paint,-1,125.20000000000007,45.300000000000374
ProductA,Painting,consumption,Paint,-1,124.20000000000007,45.300000000000374
ProductA,Painting,consumption,Paint,-1,123.20000000000007,45.80000000000038
ProductB,Painting,consumption,Paint,-1.2,122.00000000000007,54.3000000000005
ProductA,Painting,consumption,Paint,-1,121.00000000000007,54.4000000000005
ProductA,Painting,consumption,Paint,-1,120.00000000000007,54.500000000000504
ProductB,Painting,consumption,Paint,-1.2,118.80000000000007,54.80000000000051
ProductB,Painting,consumption,Paint,-1.2,117.60000000000007,55.200000000000514
ProductA,Painting,consumption,Paint,-1,116.60000000000007,55.200000000000514
ProductB,Painting,consumption,Paint,-1.2,115.40000000000006,55.200000000000514
ProductA,Painting,consumption,Paint,-1,114.40000000000006,55.200000000000514
ProductA,Painting,consumption,Paint,-1,113.40000000000006,55.60000000000052
ProductA,Painting,consumption,Paint,-1,112.40000000000006,56.20000000000053
ProductA,Painting,consumption,Paint,-1,111.40000000000006,56.90000000000054
ProductA,Painting,consumption,Paint,-1,110.40000000000006,56.90000000000054
ProductB,Painting,consumption,Paint,-1.2,109.20000000000006,57.20000000000054
