product,stage,type,material,quantity,remaining_stock,time
ProductA,Cutting,consumption,Steel_Sheet,-2,148,6.099999999999994
ProductB,Routing,consumption,Routing_Bits,-0.15,149.85,6.099999999999994
ProductB,Routing,consumption,Routing_Bits,-0.15,149.7,6.099999999999994
ProductA,Cutting,consumption,Steel_Sheet,-2,146,6.099999999999994
ProductA,Cutting,consumption,Steel_Sheet,-2,144,6.099999999999994
ProductA,Cutting,consumption,Steel_Sheet,-2,142,6.099999999999994
ProductA,Cutting,consumption,Steel_Sheet,-2,140,6.099999999999994
ProductA,Cutting,consumption,Steel_Sheet,-2,138,6.099999999999994
ProductA,Cutting,consumption,Steel_Sheet,-2,136,6.099999999999994
ProductA,Cutting,consumption,Steel_Sheet,-2,134,6.099999999999994
ProductB,Routing,consumption,Routing_Bits,-0.15,149.54999999999998,6.099999999999994
ProductA,Cutting,consumption,Steel_Sheet,-2,132,6.099999999999994
ProductA,Cutting,consumption,Steel_Sheet,-2,130,6.099999999999994
ProductA,Cutting,consumption,Steel_Sheet,-2,128,6.099999999999994
ProductA,Cutting,consumption,Steel_Sheet,-2,126,6.099999999999994
ProductB,Routing,consumption,Routing_Bits,-0.15,149.39999999999998,6.099999999999994
ProductA,Cutting,consumption,Steel_Sheet,-2,124,6.099999999999994
ProductA,Cutting,consumption,Steel_Sheet,-2,122,6.099999999999994
ProductA,Cutting,consumption,Steel_Sheet,-2,120,6.099999999999994
ProductA,Cutting,consumption,Steel_Sheet,-2,118,6.099999999999994
ProductA,Routing,consumption,Routing_Bits,-0.1,149.29999999999998,9.699999999999982
ProductA,Routing,consumption,Routing_Bits,-0.1,149.2,9.89999999999998
ProductA,Routing,consumption,Routing_Bits,-0.1,149.1,9.99999999999998
ProductA,Routing,consumption,Routing_Bits,-0.1,149.0,9.99999999999998
ProductA,Routing,consumption,Routing_Bits,-0.1,148.9,10.599999999999978
ProductA,Routing,consumption,Routing_Bits,-0.1,148.8,10.599999999999978
ProductA,Routing,consumption,Routing_Bits,-0.1,148.70000000000002,10.699999999999978
ProductA,Routing,consumption,Routing_Bits,-0.1,148.60000000000002,10.799999999999978
ProductA,Routing,consumption,Routing_Bits,-0.1,148.50000000000003,10.799999999999978
ProductA,Routing,consumption,Routing_Bits,-0.1,148.40000000000003,10.999999999999977
ProductA,Routing,consumption,Routing_Bits,-0.1,148.30000000000004,10.999999999999977
ProductA,Routing,consumption,Routing_Bits,-0.1,148.20000000000005,10.999999999999977
ProductB,Cutting,consumption,Steel_Sheet,-1.5,116.5,11.099999999999977
ProductA,Routing,consumption,Routing_Bits,-0.1,148.10000000000005,11.099999999999977
ProductA,Routing,consumption,Routing_Bits,-0.1,148.00000000000006,11.099999999999977
ProductA,Routing,consumption,Routing_Bits,-0.1,147.90000000000006,11.099999999999977
ProductA,Routing,consumption,Routing_Bits,-0.1,147.80000000000007,11.199999999999976
ProductB,Cutting,consumption,Steel_Sheet,-1.5,115.0,11.999999999999973
ProductB,Cutting,consumption,Steel_Sheet,-1.5,113.5,12.099999999999973
ProductB,Cutting,consumption,Steel_Sheet,-1.5,112.0,12.69999999999997
ProductA,Painting,consumption,Paint,-1,149,15.99999999999996
ProductB,Painting,consumption,Paint,-1.2,147.8,16.19999999999996
ProductB,Painting,consumption,Paint,-1.2,146.60000000000002,16.699999999999967
ProductB,Painting,consumption,Paint,-1.2,145.40000000000003,16.89999999999997
ProductA,Painting,consumption,Paint,-1,144.40000000000003,17.199999999999974
ProductB,Painting,consumption,Paint,-1.2,143.20000000000005,17.199999999999974
ProductA,Painting,consumption,Paint,-1,142.20000000000005,17.299999999999976
ProductA,Painting,consumption,Paint,-1,141.20000000000005,17.59999999999998
ProductA,Painting,consumption,Paint,-1,140.20000000000005,17.59999999999998
ProductA,Painting,consumption,Paint,-1,139.20000000000005,17.69999999999998
ProductA,Painting,consumption,Paint,-1,138.20000000000005,17.69999999999998
ProductA,Painting,consumption,Paint,-1,137.20000000000005,17.799999999999983
ProductA,Painting,consumption,Paint,-1,136.20000000000005,17.799999999999983
ProductA,Painting,consumption,Paint,-1,135.20000000000005,17.799999999999983
ProductA,Painting,consumption,Paint,-1,134.20000000000005,17.999999999999986
ProductA,Painting,consumption,Paint,-1,133.20000000000005,18.799999999999997
ProductA,Painting,consumption,Paint,-1,132.20000000000005,18.9
ProductA,Painting,consumption,Paint,-1,131.20000000000005,18.9
ProductA,Painting,consumption,Paint,-1,130.20000000000005,19.1
ProductA,Painting,consumption,Paint,-1,129.20000000000005,19.200000000000003
ProductB,Routing,consumption,Routing_Bits,-0.15,147.65000000000006,30.700000000000166
ProductA,Cutting,consumption,Steel_Sheet,-2,110.0,30.90000000000017
ProductA,Cutting,consumption,Steel_Sheet,-2,108.0,31.200000000000173
ProductB,Routing,consumption,Routing_Bits,-0.15,147.50000000000006,32.20000000000019
ProductB,Routing,consumption,Routing_Bits,-0.15,147.35000000000005,33.0000000000002
ProductB,Routing,consumption,Routing_Bits,-0.15,147.20000000000005,33.3000000000002
ProductA,Cutting,consumption,Steel_Sheet,-2,106.0,33.90000000000021
ProductA,Cutting,consumption,Steel_Sheet,-2,104.0,34.60000000000022
ProductB,Routing,consumption,Routing_Bits,-0.15,147.05000000000004,34.70000000000022
ProductA,Cutting,consumption,Steel_Sheet,-2,102.0,34.70000000000022
ProductA,Cutting,consumption,Steel_Sheet,-2,100.0,34.70000000000022
ProductA,Cutting,consumption,Steel_Sheet,-2,98.0,34.800000000000225
ProductA,Cutting,consumption,Steel_Sheet,-2,96.0,34.900000000000226
ProductB,Routing,consumption,Routing_Bits,-0.15,146.90000000000003,34.900000000000226
ProductA,Cutting,consumption,Steel_Sheet,-2,94.0,35.00000000000023
ProductB,Routing,consumption,Routing_Bits,-0.15,146.75000000000003,35.10000000000023
ProductA,Cutting,consumption,Steel_Sheet,-2,92.0,35.70000000000024
ProductA,Routing,consumption,Routing_Bits,-0.1,146.65000000000003,36.10000000000024
ProductA,Cutting,consumption,Steel_Sheet,-2,90.0,36.70000000000025
ProductB,Cutting,consumption,Steel_Sheet,-1.5,88.5,36.80000000000025
ProductA,Cutting,consumption,Steel_Sheet,-2,86.5,37.20000000000026
ProductA,Cutting,consumption,Steel_Sheet,-2,84.5,37.80000000000027
ProductA,Routing,consumption,Routing_Bits,-0.1,146.55000000000004,38.10000000000027
ProductB,Cutting,consumption,Steel_Sheet,-1.5,83.0,38.20000000000027
ProductB,Cutting,consumption,Steel_Sheet,-1.5,81.5,38.300000000000274
ProductA,Routing,consumption,Routing_Bits,-0.1,146.45000000000005,38.60000000000028
ProductA,Routing,consumption,Routing_Bits,-0.1,146.35000000000005,38.90000000000028
ProductA,Routing,consumption,Routing_Bits,-0.1,146.25000000000006,39.20000000000029
ProductA,Routing,consumption,Routing_Bits,-0.1,146.15000000000006,39.20000000000029
ProductA,Routing,consumption,Routing_Bits,-0.1,146.05000000000007,39.20000000000029
ProductA,Routing,consumption,Routing_Bits,-0.1,145.95000000000007,39.9000000000003
ProductA,Routing,consumption,Routing_Bits,-0.1,145.85000000000008,40.60000000000031
ProductB,Cutting,consumption,Steel_Sheet,-1.5,80.0,40.70000000000031
ProductA,Routing,consumption,Routing_Bits,-0.1,145.75000000000009,41.100000000000314
ProductB,Cutting,consumption,Steel_Sheet,-1.5,78.5,41.50000000000032
ProductB,Cutting,consumption,Steel_Sheet,-1.5,77.0,41.900000000000325
ProductB,Cutting,consumption,Steel_Sheet,-1.5,75.5,42.00000000000033
ProductA,Routing,consumption,Routing_Bits,-0.1,145.6500000000001,42.600000000000335
ProductB,Painting,consumption,Paint,-1.2,128.00000000000006,42.600000000000335
ProductB,Painting,consumption,Paint,-1.2,126.80000000000005,42.80000000000034
ProductA,Routing,consumption,Routing_Bits,-0.1,145.5500000000001,43.300000000000345
ProductA,Painting,consumption,Paint,-1,125.80000000000005,43.80000000000035
ProductA,Routing,consumption,Routing_Bits,-0.1,145.4500000000001,44.10000000000036
ProductB,Painting,consumption,Paint,-1.2,124.60000000000005,44.90000000000037
ProductB,Painting,consumption,Paint,-1.2,123.40000000000005,45.300000000000374
ProductA,Painting,consumption,Paint,-1,122.40000000000005,45.70000000000038
ProductA,Painting,consumption,Paint,-1,121.40000000000005,45.90000000000038
ProductB,Painting,consumption,Paint,-1.2,120.20000000000005,54.4000000000005
ProductA,Painting,consumption,Paint,-1,119.20000000000005,54.600000000000506
ProductB,Painting,consumption,Paint,-1.2,118.00000000000004,54.600000000000506
ProductA,Painting,consumption,Paint,-1,117.00000000000004,55.00000000000051
ProductA,Painting,consumption,Paint,-1,116.00000000000004,55.200000000000514
ProductA,Painting,consumption,Paint,-1,115.00000000000004,55.300000000000516
ProductA,Painting,consumption,Paint,-1,114.00000000000004,56.000000000000526
ProductB,Painting,consumption,Paint,-1.2,112.80000000000004,56.30000000000053
ProductA,Painting,consumption,Paint,-1,111.80000000000004,56.80000000000054
ProductA,Painting,consumption,Paint,-1,110.80000000000004,57.00000000000054
