order_id,completion_time,due_time,items_completed,items_total,release_time,shipped_time,start_time,status
Ord-00001,38.167899213159515,168.0,1,1,0,43.0,,shipped
Ord-00002,31.257159444892725,168.0,1,1,0,43.0,,shipped
Ord-00003,32.69760204993115,168.0,1,1,0,43.0,,shipped
Ord-00004,35.25353424603714,168.0,1,1,0,43.0,,shipped
Ord-00005,37.213875534619675,168.0,1,1,0,43.0,,shipped
Ord-00006,36.113913561075904,168.0,1,1,0,43.0,,shipped
Ord-00007,30.626702829690917,168.0,1,1,0,43.0,,shipped
Ord-00008,37.1376325225199,168.0,1,1,0,43.0,,shipped
Ord-00009,32.57021482954233,168.0,1,1,0,43.0,,shipped
Ord-00010,37.28068220719068,168.0,1,1,0,43.0,,shipped
Ord-00011,33.544228577129175,168.0,1,1,0,43.0,,shipped
Ord-00012,36.93278835146845,168.0,1,1,0,43.0,,shipped
Ord-00013,32.7312903014232,168.0,1,1,0,43.0,,shipped
Ord-00014,36.85107604012513,168.0,1,1,0,43.0,,shipped
Ord-00015,34.83768664428216,168.0,1,1,0,43.0,,shipped
Ord-00016,33.63189749064699,168.0,1,1,0,43.0,,shipped
Ord-00017,37.856326013699174,168.0,1,1,0,43.0,,shipped
Ord-00018,30.802271799245123,168.0,1,1,0,43.0,,shipped
Ord-00019,36.72059235031294,168.0,1,1,0,43.0,,shipped
Ord-00020,35.95186067467222,168.0,1,1,0,43.0,,shipped
Ord-00021,61.706356773056186,168.0,1,1,0,67.0,,shipped
Ord-00022,66.54415321992617,168.0,1,1,0,67.0,,shipped
Ord-00023,65.61165659548516,168.0,1,1,0,67.0,,shipped
Ord-00024,62.66613370099946,168.0,1,1,0,67.0,,shipped
Ord-00025,63.15499461816174,168.0,1,1,0,67.0,,shipped
Ord-00026,62.16440777607375,168.0,1,1,0,67.0,,shipped
Ord-00027,65.77739055110743,168.0,1,1,0,67.0,,shipped
Ord-00028,65.69218336144054,168.0,1,1,0,67.0,,shipped
Ord-00029,63.56584668541764,168.0,1,1,0,67.0,,shipped
Ord-00030,67.53287786825534,168.0,1,1,0,91.0,,shipped
Ord-00031,65.44758816120785,168.0,1,1,0,67.0,,shipped
Ord-00032,67.94768034521891,168.0,1,1,0,91.0,,shipped
Ord-00033,67.80843098276644,168.0,1,1,0,91.0,,shipped
Ord-00034,64.2820224375965,168.0,1,1,0,67.0,,shipped
Ord-00035,78.97043813818361,168.0,1,1,0,91.0,,shipped
Ord-00036,66.92074776949934,168.0,1,1,0,67.0,,shipped
Ord-00037,69.22484769658728,168.0,1,1,0,91.0,,shipped
Ord-00038,69.71887873807343,168.0,1,1,0,91.0,,shipped
Ord-00039,67.82999948888664,168.0,1,1,0,91.0,,shipped
Ord-00040,68.2801405644401,168.0,1,1,0,91.0,,shipped
Ord-00041,104.37607564102801,168.0,1,1,0,115.0,,shipped
Ord-00042,103.8223852291028,168.0,1,1,0,115.0,,shipped
Ord-00043,107.20609937060601,168.0,1,1,0,115.0,,shipped
Ord-00044,106.65213194704343,168.0,1,1,0,115.0,,shipped
Ord-00045,110.62020676860581,168.0,1,1,0,115.0,,shipped
Ord-00046,93.74750448580748,168.0,1,1,0,115.0,,shipped
Ord-00047,108.37664481489348,168.0,1,1,0,115.0,,shipped
Ord-00048,112.46343367657778,168.0,1,1,0,115.0,,shipped
Ord-00049,110.61305122514622,168.0,1,1,0,115.0,,shipped
Ord-00050,109.71458255541954,168.0,1,1,0,115.0,,shipped
Ord-00051,110.224186747444,168.0,1,1,0,115.0,,shipped
Ord-00052,109.3012758523775,168.0,1,1,0,115.0,,shipped
Ord-00053,104.9929671695006,168.0,1,1,0,115.0,,shipped
Ord-00054,109.85856384783739,168.0,1,1,0,115.0,,shipped
Ord-00055,109.16103145726468,168.0,1,1,0,115.0,,shipped
Ord-00056,111.81467896152387,168.0,1,1,0,115.0,,shipped
Ord-00057,109.84223791184343,168.0,1,1,0,115.0,,shipped
Ord-00058,107.0996435023616,168.0,1,1,0,115.0,,shipped
Ord-00059,109.6112132930265,168.0,1,1,0,115.0,,shipped
Ord-00060,104.46059133744878,168.0,1,1,0,115.0,,shipped
Ord-00061,134.00656775376913,168.0,1,1,0,139.0,,shipped
Ord-00062,139.3145169264837,168.0,1,1,0,163.0,,shipped
Ord-00063,140.8263527466769,168.0,1,1,0,163.0,,shipped
Ord-00064,136.89396143705653,168.0,1,1,0,139.0,,shipped
Ord-00065,135.13548573183527,168.0,1,1,0,139.0,,shipped
