stage,machine,end,label,start
Assembling,Assembling_Machine2,195.14413089851428,breakdown,187.14413089851428
Assembling,Assembling_Machine2,200,idle,195.14413089851428
Assembling,Assembling_Machine4,196.48795711724483,breakdown,188.48795711724483
Assembling,Assembling_Machine4,200,idle,196.48795711724483
Cutting,Cutting_Machine1,6.099999999999994,waiting_worker,6.0499999999999865
Cutting,Cutting_Machine1,6.7993006993006935,setup,6.099999999999994
Cutting,Cutting_Machine1,8.932391657290399,running,6.7993006993006935
Cutting,Cutting_Machine1,9.653959901791481,setup,8.932391657290399
Cutting,Cutting_Machine1,10.53294627071608,idle,9.653959901791481
Cutting,Cutting_Machine1,10.50037159845583,calendar_off,10.000371598455823
Cutting,Cutting_Machine1,10.500388849175494,calendar_off,10.000388849175486
Cutting,Cutting_Machine1,10.500619744852676,calendar_off,10.000619744852669
Cutting,Cutting_Machine1,10.500687961804125,calendar_off,10.000687961804118
Cutting,Cutting_Machine1,10.501549799985652,calendar_off,10.001549799985645
Cutting,Cutting_Machine1,10.501643010471703,calendar_off,10.001643010471696
Cutting,Cutting_Machine1,10.502015803773215,calendar_off,10.002015803773208
Cutting,Cutting_Machine1,10.502146789991464,calendar_off,10.002146789991457
Cutting,Cutting_Machine1,10.502198605787168,calendar_off,10.00219860578716
Cutting,Cutting_Machine1,10.502304115087943,calendar_off,10.002304115087936
Cutting,Cutting_Machine1,10.502327357526891,calendar_off,10.002327357526884
Cutting,Cutting_Machine1,10.503625273912522,calendar_off,10.003625273912515
Cutting,Cutting_Machine1,10.504021213599799,calendar_off,10.004021213599792
Cutting,Cutting_Machine1,11.405907842080708,idle,10.53294627071608
Cutting,Cutting_Machine1,11.499999999999975,waiting_worker,11.405907842080708
Cutting,Cutting_Machine1,11.641507518844703,setup,11.499999999999975
Cutting,Cutting_Machine1,11.699999999999974,waiting_worker,11.641507518844703
Cutting,Cutting_Machine1,11.772350620996685,setup,11.699999999999974
Cutting,Cutting_Machine1,11.799999999999974,waiting_worker,11.772350620996685
Cutting,Cutting_Machine1,11.811163245633537,setup,11.799999999999974
Cutting,Cutting_Machine1,11.899999999999974,waiting_worker,11.811163245633537
Cutting,Cutting_Machine1,12.712660172197719,setup,11.899999999999974
Cutting,Cutting_Machine1,14.342984789941484,running,12.712660172197719
Cutting,Cutting_Machine1,15.65349333577426,setup,14.342984789941484
Cutting,Cutting_Machine1,30.574511420070415,idle,15.65349333577426
Cutting,Cutting_Machine1,30.600000000000165,waiting_worker,30.574511420070415
Cutting,Cutting_Machine1,30.768927005780064,setup,30.600000000000165
Cutting,Cutting_Machine1,30.800000000000168,waiting_worker,30.768927005780064
Cutting,Cutting_Machine1,32.36470588235311,setup,30.800000000000168
