sim_time,co2_kg,hours,km,kwh,mode
9.92198112945327,0.02144,0.1,0.1,0.0776,forklift
9.925892142377535,0.02144,0.1,0.1,0.0776,forklift
9.988638466808148,0.02144,0.1,0.1,0.0776,forklift
10.530123925226055,0.02144,0.1,0.1,0.0776,forklift
10.538707026789185,0.02144,0.1,0.1,0.0776,forklift
10.594989264271488,0.02144,0.1,0.1,0.0776,forklift
10.63482532735117,0.02144,0.1,0.1,0.0776,forklift
10.656840975561467,0.02144,0.1,0.1,0.0776,forklift
10.741905103740418,0.02144,0.1,0.1,0.0776,forklift
10.753763798617541,0.02144,0.1,0.1,0.0776,forklift
10.776210607386968,0.02144,0.1,0.1,0.0776,forklift
10.785917560404373,0.02144,0.1,0.1,0.0776,forklift
10.839775880362524,0.02144,0.1,0.1,0.0776,forklift
10.864405595032224,0.02144,0.1,0.1,0.0776,forklift
10.870332077838043,0.02144,0.1,0.1,0.0776,forklift
11.305807550263216,0.02144,0.1,0.1,0.0776,forklift
11.334915624729804,0.02144,0.1,0.1,0.0776,forklift
11.39436145014041,0.02144,0.1,0.1,0.0776,forklift
12.6292880805039,0.02144,0.1,0.1,0.0776,forklift
12.685101311035524,0.02144,0.1,0.1,0.0776,forklift
14.02381028332906,0.02144,0.1,0.1,0.0776,forklift
14.937734853356556,0.02144,0.1,0.1,0.0776,forklift
15.816239162842786,0.02144,0.1,0.1,0.0776,forklift
15.994938335394625,0.02144,0.1,0.1,0.0776,forklift
16.08036509996861,0.02144,0.1,0.1,0.0776,forklift
16.77684209996667,0.02144,0.1,0.1,0.0776,forklift
16.948047230582905,0.02144,0.1,0.1,0.0776,forklift
17.631587459768262,0.02144,0.1,0.1,0.0776,forklift
17.81506851384301,0.02144,0.1,0.1,0.0776,forklift
17.816452317542943,0.02144,0.1,0.1,0.0776,forklift
17.823002079955767,0.02144,0.1,0.1,0.0776,forklift
18.753072371196662,0.02144,0.1,0.1,0.0776,forklift
18.88785730178695,0.02144,0.1,0.1,0.0776,forklift
18.934411023489893,0.02144,0.1,0.1,0.0776,forklift
19.11538127254341,0.02144,0.1,0.1,0.0776,forklift
19.15365850271973,0.02144,0.1,0.1,0.0776,forklift
19.258450010951883,0.02144,0.1,0.1,0.0776,forklift
19.72753257236567,0.02144,0.1,0.1,0.0776,forklift
19.740007324383363,0.02144,0.1,0.1,0.0776,forklift
19.90813562145373,0.02144,0.1,0.1,0.0776,forklift
20.30375618947748,0.02144,0.1,0.1,0.0776,forklift
21.331702556119403,0.02144,0.1,0.1,0.0776,forklift
21.68892612716413,0.02144,0.1,0.1,0.0776,forklift
30.090759918892548,0.02144,0.1,0.1,0.0776,forklift
33.012908097678604,0.02144,0.1,0.1,0.0776,forklift
33.41199079066593,0.02144,0.1,0.1,0.0776,forklift
33.609437870184564,0.02144,0.1,0.1,0.0776,forklift
34.6048502168034,0.02144,0.1,0.1,0.0776,forklift
34.67633562149863,0.02144,0.1,0.1,0.0776,forklift
34.83235029869154,0.02144,0.1,0.1,0.0776,forklift
35.09701217170329,0.02144,0.1,0.1,0.0776,forklift
35.421386468860376,0.02144,0.1,0.1,0.0776,forklift
35.4973896610265,0.02144,0.1,0.1,0.0776,forklift
35.888967179934795,0.02144,0.1,0.1,0.0776,forklift
35.91782734175751,0.02144,0.1,0.1,0.0776,forklift
35.95911234732607,0.02144,0.1,0.1,0.0776,forklift
36.24114197326432,0.02144,0.1,0.1,0.0776,forklift
36.49980927063949,0.02144,0.1,0.1,0.0776,forklift
36.75169516499189,0.02144,0.1,0.1,0.0776,forklift
36.958901576246824,0.02144,0.1,0.1,0.0776,forklift
37.135418501479165,0.02144,0.1,0.1,0.0776,forklift
38.09824125876724,0.02144,0.1,0.1,0.0776,forklift
38.3759261925081,0.02144,0.1,0.1,0.0776,forklift
38.597618312844666,0.02144,0.1,0.1,0.0776,forklift
38.652354178630844,0.02144,0.1,0.1,0.0776,forklift
39.1081905271329,0.02144,0.1,0.1,0.0776,forklift
