machine,co2_kg,kwh
Assembling_Machine1,142.12919826405962,203.04171180579948
Assembling_Machine2,57.376134352673425,81.96590621810489
Assembling_Machine3,10.22976763037497,14.61395375767853
Assembling_Machine4,250.44917489158107,357.78453555940155
Cutting_Machine1,1101.6115486756084,1573.7307838222987
Cutting_Machine2,300.56995419091965,429.38564884417093
Cutting_Machine3,535.4264914946206,764.894987849458
Cutting_Machine4,535.9640042321164,765.6628631887378
Painting_Machine1,1794.2322052555255,2563.188864650747
Painting_Machine2,89.6528781783673,128.07554025481045
Routing_Machine1,1142.4116921825625,1632.0167031179494
Routing_Machine2,179.39877870746236,256.28396958208907
